OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x10000773fb051, duration=106.100s, table=0, n_packets=54, n_bytes=5292, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions
 cookie=0x10000af5be9c8, duration=106.100s, table=0, n_packets=71, n_bytes=9798, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions
 cookie=0x10000cb373d03, duration=106.100s, table=0, n_packets=108, n_bytes=4536, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions
 cookie=0x10000f28d913b, duration=106.100s, table=0, n_packets=71, n_bytes=9798, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions
 cookie=0x210000e799487c, duration=3.391s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=26:5f:29:cf:19:12,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x2100009dcaced8, duration=3.363s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=22:93:a9:07:58:6e,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000974883dc, duration=3.315s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=26:5f:29:cf:19:12 actions=output:1
 cookie=0x210000e71699c6, duration=3.298s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=5a:ec:fc:ba:2c:0e,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x2100004747d8e1, duration=3.274s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=22:93:a9:07:58:6e actions=output:2
 cookie=0x2100009a959c91, duration=3.257s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=2a:c8:08:a6:6b:e9,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000777de760, duration=3.246s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=5a:ec:fc:ba:2c:0e actions=output:3
 cookie=0x2100002b94beff, duration=3.230s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=02:b3:81:d9:58:54,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000eb4cc4df, duration=3.226s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=c6:64:9f:95:aa:bd,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000cfafe955, duration=3.226s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=4,dl_src=9a:60:db:45:27:c8,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x21000000d29c38, duration=3.221s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=1e:4f:18:55:14:ad,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
