OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x1000095c6816d, duration=105.980s, table=0, n_packets=205, n_bytes=8610, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions
 cookie=0x100009f32a036, duration=105.980s, table=0, n_packets=22, n_bytes=2156, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions
 cookie=0x10000c00a1922, duration=105.980s, table=0, n_packets=166, n_bytes=22831, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions
 cookie=0x100006c138135, duration=105.980s, table=0, n_packets=166, n_bytes=22831, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions
 cookie=0x21000052f9593f, duration=3.578s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=5a:ec:fc:ba:2c:0e,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x2100001e701166, duration=3.526s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=2a:c8:08:a6:6b:e9,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000c22f40bb, duration=3.471s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=b6:11:2d:08:18:b2,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000207a3189, duration=3.451s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=6,dl_src=fa:f5:fa:f8:1e:a4,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000cb75bfae, duration=3.439s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=ca:b4:19:af:3b:b5,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x2100008efe3c55, duration=3.433s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=5a:ec:fc:ba:2c:0e actions=output:7
 cookie=0x210000e099f612, duration=3.424s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=66:ab:5f:f0:f3:92,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x21000088ea1028, duration=3.408s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=0e:60:85:9c:ad:4a,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x2100008bb084e2, duration=3.408s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=2a:c8:08:a6:6b:e9 actions=output:7
 cookie=0x210000af9e0dc1, duration=3.407s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=6e:74:74:f7:3b:58,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000bb412227, duration=3.401s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=16:eb:27:d7:fe:26,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x21000044bf03c2, duration=3.380s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=8,dl_src=ce:50:6b:03:23:69,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x21000009cc218c, duration=3.363s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=b6:11:2d:08:18:b2 actions=output:2
 cookie=0x21000096d945fd, duration=3.327s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=fa:f5:fa:f8:1e:a4 actions=output:6
 cookie=0x210000db6f96f1, duration=3.317s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ca:b4:19:af:3b:b5 actions=output:1
 cookie=0x210000da044ea0, duration=3.316s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=66:ab:5f:f0:f3:92 actions=output:7
 cookie=0x2100005074ab47, duration=3.307s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=a2:8b:5f:22:38:58 actions=output:6
 cookie=0x2100008d8d0a4e, duration=3.295s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=0e:60:85:9c:ad:4a actions=output:2
 cookie=0x2100006596ef36, duration=3.287s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=22:3f:13:00:5d:e6 actions=output:6
 cookie=0x21000000f9ad44, duration=3.281s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=6e:74:74:f7:3b:58 actions=output:7
 cookie=0x210000eef0042a, duration=3.277s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=16:eb:27:d7:fe:26 actions=output:7
 cookie=0x2100008a25ed86, duration=3.259s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ce:50:6b:03:23:69 actions=output:8
