OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x1000031d7e1f8, duration=107.239s, table=0, n_packets=114, n_bytes=4788, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions
 cookie=0x1000083384d20, duration=107.239s, table=0, n_packets=145, n_bytes=19834, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions
 cookie=0x10000c941863e, duration=107.239s, table=0, n_packets=145, n_bytes=19834, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions
 cookie=0x1000071de68e3, duration=107.239s, table=0, n_packets=7, n_bytes=686, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions
 cookie=0x21000095b1ed39, duration=3.077s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=6,dl_src=26:5f:29:cf:19:12,dl_dst=0a:5d:b0:51:a7:84 actions=output:3
 cookie=0x2100008dad9fbf, duration=2.867s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=c6:64:9f:95:aa:bd,dl_dst=0a:5d:b0:51:a7:84 actions=output:3
 cookie=0x2100002172aac4, duration=2.829s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=26:5f:29:cf:19:12 actions=output:6
 cookie=0x210000520f2ef9, duration=2.756s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=ce:e9:83:b9:56:22,dl_dst=0a:5d:b0:51:a7:84 actions=output:3
 cookie=0x210000ca146fe9, duration=2.691s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=f2:8b:97:b5:a4:38,dl_dst=0a:5d:b0:51:a7:84 actions=output:3
 cookie=0x210000662a79d0, duration=2.679s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=ba:49:99:a5:c2:bd actions=output:5
 cookie=0x2100001bebe43c, duration=2.610s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=0a:5d:b0:51:a7:84,dl_dst=f2:8b:97:b5:a4:38 actions=output:2
