switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s17,13,12,936,0,0,430,40894,0,0
s17,11,12,936,0,0,432,41174,0,0
s17,10,12,936,0,0,432,41174,0,0
s17,8,194,5882,0,0,12,936,0,0
s17,9,12,936,0,0,434,41226,0,0
s17,5,513,51877,4,0,510,51486,0,0
s17,12,12,936,0,0,430,40894,0,0
s17,1,520,52121,0,0,524,52945,0,0
s17,4,517,52045,4,0,510,51486,0,0
s17,6,514,51526,8,0,516,51386,0,0
s17,7,12,936,0,0,436,41504,0,0
s17,2,508,51208,0,0,517,52004,0,0
s17,3,516,52195,0,0,326,43528,0,0
