frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1765235661.185566000","74","192.168.0.24","192.168.0.4",,,"TCP","59818","80","0x0002","0",,,,
"1765235661.185724000","74","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0012","0",,,,
"1765235661.323400000","74","192.168.0.16","192.168.0.4",,,"TCP","38890","80","0x0002","1",,,,
"1765235661.323552000","74","192.168.0.4","192.168.0.16",,,"TCP","80","38890","0x0012","1",,,,
"1765235661.475754000","66","192.168.0.24","192.168.0.4",,,"TCP","59818","80","0x0010","0",,,,
"1765235661.479011000","372","192.168.0.24","192.168.0.4",,,"HTTP/JSON","59818","80","0x0018","0",,,,
"1765235661.479062000","66","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0010","0",,,,
"1765235661.479695000","288","192.168.0.4","192.168.0.24",,,"HTTP/JSON","80","59818","0x0018","0",,,,
"1765235661.479799000","66","192.168.0.24","192.168.0.4",,,"TCP","59818","80","0x0010","0",,,,
"1765235661.480472000","251","192.168.0.24","192.168.0.4",,,"HTTP","59818","80","0x0018","0",,,,
"1765235661.487747000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.487836000","1266","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.487924000","66","192.168.0.24","192.168.0.4",,,"TCP","59818","80","0x0010","0",,,,
"1765235661.488305000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488373000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488395000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488417000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488433000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488510000","66","192.168.0.24","192.168.0.4",,,"TCP","59818","80","0x0010","0",,,,
"1765235661.488733000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488799000","66","192.168.0.24","192.168.0.4",,,"TCP","59818","80","0x0010","0",,,,
"1765235661.488818000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488839000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488853000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488870000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488887000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488905000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488922000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
"1765235661.488938000","2962","192.168.0.4","192.168.0.24",,,"TCP","80","59818","0x0018","0",,,,
