frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1765235931.482256000","74","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0002","0",,,,
"1765235931.979440000","74","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0012","0",,,,
"1765235931.979504000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235931.980116000","372","192.168.0.98","192.168.0.2",,,"HTTP/JSON","41560","80","0x0018","0",,,,
"1765235931.983646000","288","192.168.0.2","192.168.0.98",,,"HTTP/JSON","80","41560","0x0018","0",,,,
"1765235931.983677000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235931.984427000","251","192.168.0.98","192.168.0.2",,,"HTTP","41560","80","0x0018","0",,,,
"1765235932.026781000","66","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0010","0",,,,
"1765235932.082198000","66","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0010","0",,,,
"1765235932.082229000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.686957000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687007000","1266","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687066000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687088000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687102000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687116000","1514","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0010","0",,,,
"1765235932.687116000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.687205000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687209000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687232000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687236000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687254000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687257000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687271000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687651000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.687725000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687761000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.687765000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687777000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687789000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687815000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687843000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687844000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.687856000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687867000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687878000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687893000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687920000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687933000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687959000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687960000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.687972000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687982000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.687992000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.688022000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.688055000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.688148000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.692732000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.692757000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.692797000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
"1765235932.692804000","66","192.168.0.98","192.168.0.2",,,"TCP","41560","80","0x0010","0",,,,
"1765235932.692818000","2962","192.168.0.2","192.168.0.98",,,"TCP","80","41560","0x0018","0",,,,
