snapshot_idx,interface,frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
1,s0cl0,1767116698.419503000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116698.419632000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116699.219905000,42,,,,,ARP,,,,,,,,
1,s0cl0,1767116699.219925000,42,,,,,ARP,,,,,,,,
1,s0cl0,1767116701.519675000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116701.520131000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116704.619972000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116704.620354000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116707.721650000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116707.721752000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116710.819095000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116710.819492000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116713.918521000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116713.918887000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116717.019193000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116717.019733000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116720.119312000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116720.119674000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116723.218877000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116723.218931000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116726.319322000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116726.319388000,137,,,,,LLDP,,,,,,,,
1,s0cl0,1767116727.082834000,70,,,fe80::747a:74ff:feb1:f1,ff02::2,ICMPv6,,,,,,,133,0
1,s0cl0,1767116727.082817000,70,,,fe80::c464:9fff:fe95:aabd,ff02::2,ICMPv6,,,,,,,133,0
