snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
1,s1,0x1000049ccf504,0,5,566.686,23,1894,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000049ccf504, duration=566.686s, table=0, n_packets=23, n_bytes=1894, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s1,0x10000358fc2a1,0,40000,566.686,385,16170,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000358fc2a1, duration=566.686s, table=0, n_packets=385, n_bytes=16170, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s1,0x10000b474f87c,0,40000,566.686,366,50142,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000b474f87c, duration=566.686s, table=0, n_packets=366, n_bytes=50142, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s1,0x1000054ece146,0,40000,566.686,366,50142,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000054ece146, duration=566.686s, table=0, n_packets=366, n_bytes=50142, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s5,0x100001b99fd4b,0,40000,566.710,1136,47712,arp,"CONTROLLER:65535,clear_actions","cookie=0x100001b99fd4b, duration=566.710s, table=0, n_packets=1136, n_bytes=47712, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s5,0x1000015c918f2,0,40000,566.706,1080,147600,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000015c918f2, duration=566.706s, table=0, n_packets=1080, n_bytes=147600, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s5,0x1000083ee0867,0,40000,566.706,1080,147600,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000083ee0867, duration=566.706s, table=0, n_packets=1080, n_bytes=147600, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s5,0x100002dfd01e5,0,5,566.693,11,1054,ip,"CONTROLLER:65535,clear_actions","cookie=0x100002dfd01e5, duration=566.693s, table=0, n_packets=11, n_bytes=1054, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s2,0x10000ec3c50fc,0,40000,566.711,891,122067,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000ec3c50fc, duration=566.711s, table=0, n_packets=891, n_bytes=122067, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s2,0x10000a5b43eac,0,40000,566.702,747,31374,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000a5b43eac, duration=566.702s, table=0, n_packets=747, n_bytes=31374, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s2,0x100009cae6dcd,0,5,566.702,115,10838,ip,"CONTROLLER:65535,clear_actions","cookie=0x100009cae6dcd, duration=566.702s, table=0, n_packets=115, n_bytes=10838, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
