snapshot,switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
1,s1,1,1049,100028,0,0,2182,105925128,0,0
1,s1,2,3766,324863,0,0,12591,634362693,0,0
1,s1,3,13828,740178003,0,0,4083,343997,0,0
1,s5,11,15,1118,0,0,522,53516,0,0
1,s5,10,16,1188,0,0,527,53726,0,0
1,s5,8,184,5152,0,0,13,1006,0,0
1,s5,9,17,1230,0,0,524,53466,0,0
1,s5,5,560,58180,0,0,555,57780,0,0
1,s5,1,1038,98613,0,0,383,50386,0,0
1,s5,4,562,58264,0,0,556,57984,0,0
1,s5,6,559,58110,0,0,1039,98797,0,0
1,s5,7,15,1118,0,0,532,53992,0,0
1,s5,2,573,58646,0,0,567,58394,0,0
1,s5,3,559,58110,0,0,556,57984,0,0
1,s2,6,16695,841774850,0,0,4467,378572,0,0
1,s2,4,189,5292,0,0,13,1006,0,0
1,s2,1,563,58658,0,0,6329,313150994,0,0
1,s2,5,4197,211816444,4,0,1643,147168,0,0
1,s2,2,4207,209358826,0,0,555,58350,0,0
1,s2,3,3494,104900041,0,0,4468,211829220,0,0
1,s4,8,186,5240,0,0,13,1006,0,0
1,s4,5,502,42317,0,0,2338,101865802,0,0
1,s4,1,2362,101869080,0,0,2397,105940034,0,0
1,s4,4,6363,317710160,4,0,1401,130515,0,0
1,s4,6,442,38358,0,0,2487,105939845,0,0
1,s4,7,446,38627,0,0,2394,105934205,0,0
1,s4,2,562,58426,0,0,560,58374,0,0
1,s4,3,383,50386,4,0,1038,98613,0,0
1,s7,4,186,5208,0,0,13,1006,0,0
1,s7,1,554,57164,0,0,2176,101860704,0,0
1,s7,5,546,56262,4,0,543,55946,0,0
1,s7,2,994,95665,0,0,554,57520,0,0
1,s7,3,2363,101868946,0,0,996,95781,0,0
1,s0,1,571,59464,0,0,4219,209359800,0,0
1,s0,2,3069,268825,4,0,6409,317713135,0,0
1,s0,3,9711,526966701,0,0,2944,251505,0,0
1,s6,13,481,40963,0,0,2378,105932443,0,0
1,s6,11,406,35961,0,0,2372,105930886,0,0
1,s6,10,16,1188,0,0,525,53450,0,0
1,s6,8,186,5208,0,0,13,1006,0,0
1,s6,9,2394,105938674,4,0,528,54556,0,0
1,s6,5,554,57036,4,0,1548,140770,0,0
1,s6,12,460,39540,0,0,2529,105942642,0,0
1,s6,14,620,50117,0,0,2555,105944418,0,0
1,s6,1,2397,105940034,4,0,2362,101869080,0,0
1,s6,4,2176,101860704,4,0,554,57164,0,0
1,s6,6,4142,211808985,4,0,1014,96997,0,0
1,s6,7,539,55398,4,0,983,93778,0,0
1,s6,2,382,50514,0,0,550,57570,0,0
1,s6,3,486,55250,0,0,486,55330,0,0
1,s3,1,564,58602,0,0,562,58454,0,0
1,s3,2,2990,263521,4,0,9770,525390840,0,0
1,s3,3,9419,525342848,0,0,2853,244693,0,0
1,s8,4,185,5180,0,0,13,1006,0,0
1,s8,1,567,58394,4,0,573,58646,0,0
1,s8,5,1660,148472,4,0,6364,314282823,0,0
1,s8,2,3111,102562112,0,0,1446,134774,0,0
1,s8,3,4477,211831603,0,0,2288,198720,0,0
1,s11,6,456,39277,0,0,2406,102504288,0,0
1,s11,4,185,5180,0,0,12,936,0,0
1,s11,1,554,57520,4,0,994,95665,0,0
1,s11,5,660,52745,0,0,2467,105939130,0,0
1,s11,2,6364,314282823,0,0,1660,148472,0,0
1,s11,3,543,57058,0,0,371,49806,0,0
1,s14,10,16,1160,0,0,487,49002,0,0
1,s14,8,187,5268,0,0,13,1006,0,0
1,s14,9,16,1160,0,0,487,48716,0,0
1,s14,5,16,1160,0,0,493,49550,0,0
1,s14,1,2184,105925402,4,0,1049,100028,0,0
1,s14,4,16,1160,0,0,493,49550,0,0
1,s14,6,16,1160,0,0,491,49272,0,0
1,s14,7,16,1160,0,0,489,48994,0,0
1,s14,2,1028,97428,4,0,2177,105923334,0,0
1,s14,3,16,1160,0,0,495,49828,0,0
1,s12,13,495,41855,0,0,2476,105937610,0,0
1,s12,11,518,43370,0,0,2258,103465086,0,0
1,s12,10,525,43880,0,0,2498,105941234,0,0
1,s12,8,188,5296,0,0,13,1006,0,0
1,s12,9,572,46908,0,0,2517,105940435,0,0
1,s12,5,2285,199871,0,0,3260,106026571,0,0
1,s12,12,555,45806,0,0,2759,103975276,0,0
1,s12,14,422,37260,0,0,2358,105932972,0,0
1,s12,1,996,95781,4,0,2363,101868946,0,0
1,s12,4,9772,525391114,0,0,2990,263521,0,0
1,s12,6,3142,105992872,4,0,2616,105950129,0,0
1,s12,7,1018,96161,4,0,2576,105946714,0,0
1,s12,2,1094,102350,4,0,6706,317744844,0,0
1,s12,3,17064,842798840,0,0,4773,409245,0,0
1,s10,8,185,5180,0,0,13,1006,0,0
1,s10,9,557,45904,0,0,2368,105931090,0,0
1,s10,5,546,56608,4,0,541,56178,0,0
1,s10,1,556,57984,4,0,559,58110,0,0
1,s10,4,6706,317744844,0,0,1094,102350,0,0
1,s10,6,543,56034,4,0,1091,101098,0,0
1,s10,7,401,35671,0,0,2232,105923335,0,0
1,s10,2,550,57570,4,0,382,50514,0,0
1,s10,3,365,49230,0,0,1408,131846,0,0
1,s13,10,15,1118,0,0,494,50048,0,0
1,s13,8,186,5208,0,0,13,1006,0,0
1,s13,9,16,1160,0,0,496,50032,0,0
1,s13,5,2563,105945155,0,0,1948,176923,0,0
1,s13,1,6331,313151268,4,0,563,58658,0,0
1,s13,4,1041,99039,0,0,4164,211810897,0,0
1,s13,6,613,49580,0,0,2510,104812728,0,0
1,s13,7,15,1118,0,0,499,50352,0,0
1,s13,2,564,58728,4,0,564,58602,0,0
1,s13,3,1446,134774,4,0,3111,102562112,0,0
1,s9,8,187,5268,0,0,13,1006,0,0
1,s9,5,3260,106026571,4,0,2285,199871,0,0
1,s9,1,1548,140770,0,0,554,57036,0,0
1,s9,4,552,57246,0,0,552,57116,0,0
1,s9,6,554,56872,4,0,546,56294,0,0
1,s9,7,484,41104,0,0,2327,105927034,0,0
1,s9,2,553,56962,0,0,554,57036,0,0
1,s9,3,2318,105929862,0,0,899,92476,0,0
1,s15,8,186,5208,0,0,13,1006,0,0
1,s15,9,16,1160,0,0,478,47530,0,0
1,s15,5,16,1160,0,0,484,48364,0,0
1,s15,1,4164,211810897,8,0,1041,99039,0,0
1,s15,4,16,1160,0,0,484,48364,0,0
1,s15,6,16,1160,0,0,482,48086,0,0
1,s15,7,16,1160,0,0,482,48086,0,0
1,s15,2,1014,96997,0,0,4142,211808985,0,0
1,s15,3,546,56294,0,0,554,56872,0,0
1,s16,13,16,1160,0,0,468,46604,0,0
1,s16,11,16,1160,0,0,470,46884,0,0
1,s16,10,16,1160,0,0,472,47164,0,0
1,s16,8,184,5152,0,0,13,1006,0,0
1,s16,9,16,1160,0,0,472,46890,0,0
1,s16,5,1029,98169,0,0,4461,211927988,0,0
1,s16,12,16,1160,0,0,468,46604,0,0
1,s16,14,16,1160,0,0,466,46324,0,0
1,s16,1,556,57984,4,0,562,58264,0,0
1,s16,4,8536,423707923,0,0,2747,238383,0,0
1,s16,6,16,1160,0,0,476,47446,0,0
1,s16,7,16,1160,0,0,474,47168,0,0
1,s16,2,2288,198720,4,0,4477,211831603,0,0
1,s16,3,546,56800,0,0,542,56412,0,0
1,s18,10,16,1160,0,0,455,44522,0,0
1,s18,8,187,5268,0,0,13,1006,0,0
1,s18,9,16,1160,0,0,457,44546,0,0
1,s18,5,16,1160,0,0,461,45102,0,0
1,s18,1,486,55330,4,0,486,55250,0,0
1,s18,4,386,49120,4,0,502,53996,0,0
1,s18,6,16,1160,0,0,461,45102,0,0
1,s18,7,16,1160,0,0,459,44824,0,0
1,s18,2,899,92476,4,0,2318,105929862,0,0
1,s18,3,2177,105923334,0,0,1028,97428,0,0
1,s17,13,16,1160,0,0,462,45568,0,0
1,s17,11,16,1160,0,0,464,45848,0,0
1,s17,10,16,1160,0,0,464,45848,0,0
1,s17,8,186,5208,0,0,13,1006,0,0
1,s17,9,16,1160,0,0,466,45862,0,0
1,s17,5,539,55930,4,0,554,56784,0,0
1,s17,12,16,1160,0,0,462,45568,0,0
1,s17,1,543,55946,0,0,546,56262,0,0
1,s17,4,433,52514,4,0,543,56462,0,0
1,s17,6,514,54688,4,0,402,50240,0,0
1,s17,7,16,1160,0,0,468,46140,0,0
1,s17,2,541,56178,0,0,546,56608,0,0
1,s17,3,542,56248,0,0,542,56220,0,0
1,s23,4,184,5152,0,0,13,1006,0,0
1,s23,1,12593,634362967,4,0,3766,324863,0,0
1,s23,5,1551,140598,4,0,353,47798,0,0
1,s23,2,2747,238383,4,0,8536,423707923,0,0
1,s23,3,4354,211821446,4,0,3444,104895437,0,0
1,s22,5,15,1118,0,0,432,41330,0,0
1,s22,1,542,56412,4,0,546,56800,0,0
1,s22,4,16,1160,0,0,432,41330,0,0
1,s22,6,15,1118,0,0,430,41052,0,0
1,s22,7,15,1118,0,0,428,40774,0,0
1,s22,2,554,56784,0,0,539,55930,0,0
1,s22,3,534,55692,0,0,367,48902,0,0
1,s21,8,185,5180,0,0,13,1006,0,0
1,s21,9,15,1118,0,0,435,41650,0,0
1,s21,5,16,1160,0,0,439,42206,0,0
1,s21,1,4470,211829494,4,0,3494,104900041,0,0
1,s21,4,16,1160,0,0,441,42484,0,0
